"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence"
"Mar 2019","14","24.58 mi","1.76 mi","4.01 mi","3:36:25 h:m:s","15:27 h:m:s","34:38 h:m:s","2,145 C","758 ft","54 ft","220 ft","6.8 mph","8:48 min/mi","145 bpm","168 spm","--"
"Feb 2019","19","49.84 mi","2.62 mi","4.01 mi","7:26:27 h:m:s","23:30 h:m:s","40:41 h:m:s","4,149 C","1,644 ft","91 ft","197 ft","6.7 mph","8:57 min/mi","144 bpm","168 spm","--"
"Jan 2019","21","58.42 mi","2.78 mi","8.01 mi","8:39:05 h:m:s","24:43 h:m:s","1:11:34 h:m:s","4,934 C","2,218 ft","106 ft","367 ft","6.8 mph","8:53 min/mi","147 bpm","168 spm","--"
"Dec 2018","15","40.66 mi","2.71 mi","7.01 mi","6:58:28 h:m:s","27:54 h:m:s","1:05:43 h:m:s","3,582 C","1,526 ft","102 ft","374 ft","5.8 mph","10:18 min/mi","140 bpm","154 spm","--"
"Nov 2018","12","49.25 mi","4.10 mi","22.47 mi","15:33:30 h:m:s","1:17:48 h:m:s","8:27:04 h:m:s","5,548 C","7,910 ft","659 ft","4,951 ft","3.2 mph","18:57 min/mi","136 bpm","143 spm","--"
"Oct 2018","14","36.32 mi","2.59 mi","5.23 mi","6:13:57 h:m:s","26:43 h:m:s","55:01 h:m:s","3,821 C","1,611 ft","115 ft","289 ft","5.8 mph","10:18 min/mi","148 bpm","167 spm","--"
"Sep 2018","13","32.36 mi","2.49 mi","4.03 mi","5:29:10 h:m:s","25:19 h:m:s","48:01 h:m:s","3,390 C","1,184 ft","91 ft","213 ft","5.9 mph","10:10 min/mi","152 bpm","168 spm","--"
"Aug 2018","15","35.91 mi","2.39 mi","4.01 mi","6:07:16 h:m:s","24:29 h:m:s","45:09 h:m:s","3,647 C","1,207 ft","80 ft","161 ft","5.9 mph","10:14 min/mi","148 bpm","168 spm","--"
"Jul 2018","12","43.40 mi","3.62 mi","7.02 mi","8:16:30 h:m:s","41:23 h:m:s","1:27:35 h:m:s","4,844 C","1,703 ft","142 ft","377 ft","5.2 mph","11:26 min/mi","148 bpm","155 spm","--"
"Jun 2018","12","33.06 mi","2.76 mi","4.01 mi","4:55:54 h:m:s","24:40 h:m:s","35:18 h:m:s","3,016 C","1,260 ft","105 ft","331 ft","6.7 mph","8:57 min/mi","147 bpm","170 spm","--"
"May 2018","15","34.51 mi","2.30 mi","5.01 mi","5:52:39 h:m:s","23:31 h:m:s","39:07 h:m:s","3,438 C","1,873 ft","125 ft","351 ft","5.9 mph","10:13 min/mi","147 bpm","159 spm","--"
"Apr 2018","22","36.83 mi","1.67 mi","4.01 mi","6:13:29 h:m:s","16:59 h:m:s","32:13 h:m:s","3,722 C","2,057 ft","94 ft","305 ft","5.9 mph","10:08 min/mi","146 bpm","158 spm","--"
"Mar 2018","21","55.47 mi","2.64 mi","5.01 mi","8:28:42 h:m:s","24:13 h:m:s","40:39 h:m:s","4,998 C","2,562 ft","122 ft","394 ft","6.5 mph","9:10 min/mi","147 bpm","168 spm","--"
"Feb 2018","23","49.66 mi","2.16 mi","7.01 mi","8:10:07 h:m:s","21:19 h:m:s","59:54 h:m:s","5,276 C","1,713 ft","78 ft","249 ft","6.1 mph","9:52 min/mi","149 bpm","166 spm","--"
"Jan 2018","26","63.33 mi","2.44 mi","6.00 mi","10:05:15 h:m:s","23:17 h:m:s","52:40 h:m:s","6,516 C","2,100 ft","81 ft","253 ft","6.3 mph","9:33 min/mi","152 bpm","163 spm","--"
"Dec 2017","15","42.54 mi","2.84 mi","4.01 mi","6:17:07 h:m:s","25:08 h:m:s","35:00 h:m:s","4,125 C","978 ft","65 ft","194 ft","6.8 mph","8:52 min/mi","150 bpm","172 spm","--"
"Nov 2017","9","38.26 mi","4.25 mi","13.11 mi","7:09:10 h:m:s","47:41 h:m:s","2:11:04 h:m:s","3,546 C","2,621 ft","291 ft","1,611 ft","5.3 mph","11:13 min/mi","137 bpm","152 spm","--"
"Oct 2017","15","35.39 mi","2.36 mi","5.01 mi","4:56:26 h:m:s","19:46 h:m:s","43:17 h:m:s","2,950 C","984 ft","66 ft","184 ft","7.2 mph","8:23 min/mi","145 bpm","173 spm","--"
"Sep 2017","16","50.17 mi","3.14 mi","6.00 mi","7:21:17 h:m:s","27:35 h:m:s","52:35 h:m:s","2,856 C","610 ft","61 ft","125 ft","6.8 mph","8:48 min/mi","145 bpm","165 spm","--"
"Aug 2017","11","29.54 mi","2.69 mi","4.00 mi","5:33:59 h:m:s","30:22 h:m:s","1:10:38 h:m:s","2,884 C","682 ft","62 ft","125 ft","5.3 mph","11:18 min/mi","142 bpm","162 spm","--"
"Jul 2017","14","31.43 mi","2.24 mi","5.01 mi","5:31:38 h:m:s","23:41 h:m:s","45:19 h:m:s","3,005 C","722 ft","60 ft","233 ft","5.7 mph","10:33 min/mi","150 bpm","170 spm","--"
